symbol,name,sector,subindustry,address,exchange,website
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,"Ferguson, Missouri",New York Stock Exchange,http://www.emerson.com
EQIX,Equinix,Real Estate,REITs,"Redwood City, California",Nasdaq Global Select,http://www.equinix.com
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",Nasdaq Global Select,http://www.express-scripts.com
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",Nasdaq Global Select,https://www.etrade.com
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",New York Stock Exchange,http://www.eaton.com
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",New York Stock Exchange,http://www.entergy.com
EXC,Exelon Corp.,Utilities,MultiUtilities,"Chicago, Illinois",New York Stock Exchange,http://www.exeloncorp.com
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",New York Stock Exchange,http://www.expediagroup.com
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",New York Stock Exchange,http://www.ford.com
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",Nasdaq Global Select,http://www.facebook.com
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,"Phoenix, Arizona",New York Stock Exchange,http://www.fcx.com
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",New York Stock Exchange,http://www.fedex.com
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",New York Stock Exchange,http://www.firstenergycorp.com
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",Nasdaq Global Select,http://www.f5.com
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",New York Stock Exchange,http://www.fisglobal.com
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",Nasdaq Global Select,http://www.53.com
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",New York Stock Exchange,http://www.footlocker-inc.com
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",New York Stock Exchange,http://www.generaldynamics.com
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",New York Stock Exchange,http://www.ge.com
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",New York Stock Exchange,http://www.generalmills.com
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",New York Stock Exchange,https://www.gm.com
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",Nasdaq Global Select,https://www.abc.xyz
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",New York Stock Exchange,http://www.gapinc.com
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",Nasdaq Global Select,http://www.garmin.com
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",New York Stock Exchange,http://www.gs.com
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",Nasdaq Global Select,http://www.goodyear.com
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",New York Stock Exchange,http://www.halliburton.com
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",New York Stock Exchange,http://www.homedepot.com
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",New York Stock Exchange,http://www.hess.com
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",New York Stock Exchange,http://www.harley-davidson.com
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",New York Stock Exchange,https://www.hpe.com
HPQ,HP Inc.,Information Technology,Computer Hardware,"Palo Alto, California",New York Stock Exchange,http://www.hp.com
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",New York Stock Exchange,http://www.thehersheycompany.com
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",New York Stock Exchange,http://www.ibm.com
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",Nasdaq Global Select,https://www.intel.in
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",Nasdaq Global Select,http://www.intuit.com
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",New York Stock Exchange,http://www.internationalpaper.com
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",New York Stock Exchange,https://www.quintilesims.com
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",New York Stock Exchange,http://www.gartner.com
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",New York Stock Exchange,http://www.johnsoncontrols.com
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",New York Stock Exchange,http://www.jnj.com
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",New York Stock Exchange,http://www.juniper.net
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",New York Stock Exchange,http://www.jpmorganchase.com
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",New York Stock Exchange,http://www.kelloggcompany.com
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",New York Stock Exchange,http://www.kraftheinzcompany.com
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",New York Stock Exchange,http://www.kimberly-clark.com
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",New York Stock Exchange,http://www.carmax.com
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",New York Stock Exchange,http://www.loews.com
